Country,Rating_S&P,Yield_10Y,Bank_Rate,Spread_vs_Bund_bp,Spread_vs_TNote_bp,Spread_vs_BankRate_bp,Extraction_Timestamp
Switzerland,,0.0034100000000000003,0.0,-264.8,-417.7,34.1,2026-06-22 02:14:04.924920+02:00
Taiwan,,0.0171,0.02,-127.9,-280.8,-29.0,2026-06-22 02:14:04.924920+02:00
China,,0.01752,0.03,-123.7,-276.6,-124.8,2026-06-22 02:14:04.924920+02:00
Singapore,,0.020630000000000003,0.009300000000000001,-92.6,-245.5,113.3,2026-06-22 02:14:04.924920+02:00
Thailand,,0.02093,0.01,-89.6,-242.5,109.3,2026-06-22 02:14:04.924920+02:00
Japan,,0.02651,0.01,-33.8,-186.7,165.1,2026-06-22 02:14:04.924920+02:00
Sweden,,0.0277,0.0175,-21.9,-174.8,102.0,2026-06-22 02:14:04.924920+02:00
Denmark,,0.02883,0.018500000000000003,-10.6,-163.5,103.3,2026-06-22 02:14:04.924920+02:00
Germany,,0.02989,0.024,0.0,-152.9,58.9,2026-06-22 02:14:04.924920+02:00
Netherlands,,0.03104,0.024,11.5,-141.4,70.4,2026-06-22 02:14:04.924920+02:00
Ireland,,0.03162,0.024,17.3,-135.6,76.2,2026-06-22 02:14:04.924920+02:00
Austria,,0.03235,0.024,24.6,-128.3,83.5,2026-06-22 02:14:04.924920+02:00
Finland,,0.03291,0.024,30.2,-122.7,89.1,2026-06-22 02:14:04.924920+02:00
Hong Kong,,0.03347,0.04,35.8,-117.1,-65.3,2026-06-22 02:14:04.924920+02:00
Portugal,,0.033479999999999996,0.024,35.9,-117.0,94.8,2026-06-22 02:14:04.924920+02:00
Slovenia,,0.03351,0.024,36.2,-116.7,95.1,2026-06-22 02:14:04.924920+02:00
Croatia,,0.03388,0.024,39.9,-113.0,98.8,2026-06-22 02:14:04.924920+02:00
Canada,,0.03397,0.0225,40.8,-112.1,114.7,2026-06-22 02:14:04.924920+02:00
Morocco,,0.03404,0.0225,41.5,-111.4,115.4,2026-06-22 02:14:04.924920+02:00
Cyprus,,0.0341,0.024,42.1,-110.8,101.0,2026-06-22 02:14:04.924920+02:00
Spain,,0.0346,0.024,47.1,-105.8,106.0,2026-06-22 02:14:04.924920+02:00
Belgium,,0.0354,0.024,55.1,-97.8,114.0,2026-06-22 02:14:04.924920+02:00
Malaysia,,0.03608,0.0275,61.9,-91.0,85.8,2026-06-22 02:14:04.924920+02:00
Greece,,0.03646,0.024,65.7,-87.2,124.6,2026-06-22 02:14:04.924920+02:00
Slovakia,,0.03681,0.024,69.2,-83.7,128.1,2026-06-22 02:14:04.924920+02:00
Italy,,0.037040000000000003,0.024,71.5,-81.4,130.4,2026-06-22 02:14:04.924920+02:00
Lithuania,,0.03711,0.024,72.2,-80.7,131.1,2026-06-22 02:14:04.924920+02:00
France,,0.037469999999999996,0.024,75.8,-77.1,134.7,2026-06-22 02:14:04.924920+02:00
Israel,,0.037599999999999995,0.0375,77.1,-75.8,1.0,2026-06-22 02:14:04.924920+02:00
Malta,,0.03854,0.024,86.5,-66.4,145.4,2026-06-22 02:14:04.924920+02:00
South Korea,,0.04169,0.025,118.0,-34.9,166.9,2026-06-22 02:14:04.924920+02:00
Norway,,0.04362,0.0425,137.3,-15.6,11.2,2026-06-22 02:14:04.924920+02:00
New Zealand,,0.04488,0.0225,149.9,-3.0,223.8,2026-06-22 02:14:04.924920+02:00
United States,,0.04518,0.0375,152.9,0.0,76.8,2026-06-22 02:14:04.924920+02:00
Vietnam,,0.04529,0.045,154.0,1.1,2.9,2026-06-22 02:14:04.924920+02:00
Bulgaria (*),,0.04641,0.0181,165.2,12.3,283.1,2026-06-22 02:14:04.924920+02:00
Czech Republic,,0.047,0.0375,171.1,18.2,95.0,2026-06-22 02:14:04.924920+02:00
Qatar (*),,0.04754,0.0435,176.5,23.6,40.4,2026-06-22 02:14:04.924920+02:00
Australia,,0.04809,0.0435,182.0,29.1,45.9,2026-06-22 02:14:04.924920+02:00
United Kingdom,,0.04851,0.0375,186.2,33.3,110.1,2026-06-22 02:14:04.924920+02:00
Hungary,,0.05266,0.0625,227.7,74.8,-98.4,2026-06-22 02:14:04.924920+02:00
Serbia,,0.05283,0.0575,229.4,76.5,-46.7,2026-06-22 02:14:04.924920+02:00
Perù (*),,0.05437,0.0425,244.8,91.9,118.7,2026-06-22 02:14:04.924920+02:00
Chile,,0.0545,0.045,246.1,93.2,95.0,2026-06-22 02:14:04.924920+02:00
Poland,,0.054509999999999996,0.0375,246.2,93.3,170.1,2026-06-22 02:14:04.924920+02:00
Mauritius,,0.0553,0.0475,254.1,101.2,78.0,2026-06-22 02:14:04.924920+02:00
India,,0.06858,0.0525,386.9,234.0,160.8,2026-06-22 02:14:04.924920+02:00
Romania,,0.069,0.065,391.1,238.2,40.0,2026-06-22 02:14:04.924920+02:00
Iceland,,0.0696,0.0775,397.1,244.2,-79.0,2026-06-22 02:14:04.924920+02:00
Philippines,,0.06997,0.0475,400.8,247.9,224.7,2026-06-22 02:14:04.924920+02:00
Indonesia,,0.0707,0.0575,408.1,255.2,132.0,2026-06-22 02:14:04.924920+02:00
Jordan (*),,0.08291,0.0575,530.2,377.3,254.1,2026-06-22 02:14:04.924920+02:00
South Africa,,0.0848,0.07,549.1,396.2,148.0,2026-06-22 02:14:04.924920+02:00
Bahrain (*),,0.08555,0.045,556.6,403.7,405.5,2026-06-22 02:14:04.924920+02:00
Mexico,,0.08952,0.065,596.3,443.4,245.2,2026-06-22 02:14:04.924920+02:00
Ukraine (*),,0.0901,0.15,602.1,449.2,-599.0,2026-06-22 02:14:04.924920+02:00
Namibia,,0.0969,0.0675,670.1,517.2,294.0,2026-06-22 02:14:04.924920+02:00
Bangladesh,,0.1024,0.1,725.1,572.2,24.0,2026-06-22 02:14:04.924920+02:00
Colombia,,0.1167,0.1125,868.1,715.2,42.0,2026-06-22 02:14:04.924920+02:00
Sri Lanka,,0.11914999999999999,0.0875,892.6,739.7,316.5,2026-06-22 02:14:04.924920+02:00
Botswana (*),,0.12036,0.055,904.7,751.8,653.6,2026-06-22 02:14:04.924920+02:00
